id,name,phone_number,places,type,sponsor_id,sponsor_name,sponsor_type,street,zip_code,city,lat,lon,planning_area_id
5080070,Kita Blumenstraße,+49307749311,160,Kindertagesstätte,107,Orte für Kinder GmbH,Sonstiger freier Träger,Blumenstraße 14,13585,Berlin,52.5452962,13.1981478,05100315
5080090,Kita Buddelkiste,+49307153260,80,Kindertagesstätte,124,Kindertagesstätten Nordwest Eigenbetrieb von Berlin,Eigenbetrieb,Germersheimer Weg 93,13583,Berlin,52.5498676,13.1869202,05100210
5080100,Kita Wassergeister,+49306286449,100,Kindertagesstätte,124,Kindertagesstätten Nordwest Eigenbetrieb von Berlin,Eigenbetrieb,Götelstraße 62,13595,Berlin,52.517267,13.2026562,05200634
5080110,Kita Lünette,+49305305190,175,Kindertagesstätte,124,Kindertagesstätten Nordwest Eigenbetrieb von Berlin,Eigenbetrieb,Lünette 20,13599,Berlin,52.5470983,13.2320856,05300736
5080120,Kita Seeburger Weg,+493062200310,155,Kindertagesstätte,124,Kindertagesstätten Nordwest Eigenbetrieb von Berlin,Eigenbetrieb,Seeburger Weg 35,13581,Berlin,52.522976,13.174592627325584,05200527
5080130,Kita Havelnest,+49306500290,135,Kindertagesstätte,107,Orte für Kinder GmbH,Sonstiger freier Träger,Jaczostraße 51,13595,Berlin,52.5116459,13.1869725,05200634
5080140,Kita im Grünen,+49304349310,140,Kindertagesstätte,124,Kindertagesstätten Nordwest Eigenbetrieb von Berlin,Eigenbetrieb,Jungfernheideweg 77,13629,Berlin,52.5453955,13.2706883,05300839
5080180,Kita Münsingerstraße,+4930402,103,Kindertagesstätte,124,Kindertagesstätten Nordwest Eigenbetrieb von Berlin,Eigenbetrieb,Münsingerstraße 3,13597,Berlin,52.5377668,13.1995622,05100316
5080220,Humanistische Kita Wasserwerkstraße,+49307499030,150,Kindertagesstätte,1230,"Humanistischer Verband Deutschlands, Landesverband Berlin-Brandenburg KdöR",Sonstiger freier Träger,Wasserwerkstraße 3,13589,Berlin,52.5522497,13.1646611,05100208
5080230,Kita und Familienzentrum Fantasia,+49307151117,145,Kindertagesstätte,1233,FiPP e. V. - Fortbildungsinstitut für die pädagogische Praxis,Sonstiger freier Träger,Hermann-Schmidt-Weg 7,13589,Berlin,52.5508965,13.1761219,05100209
5080240,Kita Wichernstraße,+49307759490,140,Kindertagesstätte,124,Kindertagesstätten Nordwest Eigenbetrieb von Berlin,Eigenbetrieb,Wichernstraße 57,13587,Berlin,52.5670275,13.2060308,05100101
5080250,Kita Drachenburg,+49307586930,140,Kindertagesstätte,124,Kindertagesstätten Nordwest Eigenbetrieb von Berlin,Eigenbetrieb,Stadtrandstraße 493;495;497;499,13589,Berlin,52.5530932,13.1531971,05100208
5080270,Kita am Spektesee,+49307586900,125,Kindertagesstätte,1233,FiPP e. V. - Fortbildungsinstitut für die pädagogische Praxis,Sonstiger freier Träger,Spekteweg 63,13583,Berlin,52.5443071,13.1706597,05100211
5080280,Humanistische Kita Pillnitzer Weg,+493020914890,145,Kindertagesstätte,1230,"Humanistischer Verband Deutschlands, Landesverband Berlin-Brandenburg KdöR",Sonstiger freier Träger,Pillnitzer Weg 6,13593,Berlin,52.52280865,13.156860001493367,05200526
5080300,Kita Wunderblume,+49306403956,156,Kindertagesstätte,1233,FiPP e. V. - Fortbildungsinstitut für die pädagogische Praxis,Sonstiger freier Träger,Leubnitzer Weg 2,13593,Berlin,52.5209949,13.172766051381169,05200527
